EEG,alpha,beta,delta,theta
7.00684,0.32832,-1.85519,6.99966,2.41004
7.08618,-0.10845,-2.62694,6.70464,2.51551
6.82373,-0.50598,-2.15734,6.35249,2.56553
5.896,-0.8234,-0.79467,5.94491,2.55355
5.17578,-1.03186,0.70093,5.48384,2.47455
5.68848,-1.11793,1.58136,4.97162,2.32531
6.64063,-1.08498,1.50803,4.41152,2.10475
7.39136,-0.95229,0.69658,3.80796,1.81428
5.34668,-0.75102,-0.26301,3.16624,1.45813
1.57471,-0.51846,-0.78789,2.49204,1.04321
-0.83618,-0.29171,-0.64681,1.79117,0.57896
0.09155,-0.10208,-0.06563,1.06961,0.07708
2.93579,0.02986,0.45961,0.33362,-0.44863
3.24097,0.0977,0.5094,-0.41005,-0.98257
-0.74463,0.11026,0.02049,-1.15404,-1.50784
-5.31616,0.08932,-0.67771,-1.89132,-2.00697
-7.28149,0.06492,-1.08366,-2.61507,-2.46288
-6.40259,0.06914,-0.85213,-3.31859,-2.85923
-5.02319,0.12922,-0.01972,-3.99476,-3.18033
-5.28564,0.2611,1.0095,-4.63629,-3.41191
-6.9458,0.46476,1.69583,-5.23641,-3.54238
-9.10034,0.72203,1.66374,-5.78917,-3.56431
-10.3088,0.99766,0.89245,-6.28916,-3.47468
-10.498,1.24351,-0.29501,-6.73133,-3.2743
-10.3699,1.40544,-1.41128,-7.11115,-2.9676
-10.4736,1.43201,-2.03676,-7.42448,-2.56255
-11.2427,1.28401,-1.98438,-7.66807,-2.07078
-11.2671,0.94289,-1.33014,-7.83983,-1.50751
-10.2356,0.41682,-0.32723,-7.93865,-0.89106
-8.1665,-0.25694,0.72857,-7.96382,-0.24228
-6.15845,-1.01399,1.59959,-7.91469,0.41634
-5.27954,-1.76894,2.12953,-7.79131,1.06163
-5.27344,-2.42535,2.21057,-7.59491,1.67064
-5.77393,-2.88704,1.75752,-7.32774,2.22155
-6.35986,-3.07335,0.74589,-6.99266,2.69434
-6.84204,-2.93281,-0.68833,-6.5931,3.07162
-6.83594,-2.45174,-2.16938,-6.13318,3.33925
-5.58472,-1.65688,-3.13188,-5.61779,3.48709
-2.79541,-0.61304,-3.0515,-5.05233,3.50943
0.45166,0.58036,-1.76856,-4.44256,3.40541
2.66113,1.79673,0.29894,-3.79468,3.17897
4.71802,2.89656,2.25168,-3.11533,2.83883
7.40967,3.74554,3.14532,-2.41154,2.39811
9.52148,4.23258,2.54663,-1.69043,1.87384
8.80737,4.28491,0.85026,-0.95903,1.28627
4.87671,3.87833,-0.90961,-0.2244,0.65807
0.83008,3.04175,-1.69306,0.5063,0.01353
-0.41504,1.8552,-1.13854,1.22594,-0.62223
0.29297,0.44158,0.186,1.92773,-1.22428
0,-1.04696,1.1785,2.60521,-1.76904
-1.9165,-2.44643,0.99567,3.25222,-2.23532
-4.18701,-3.60054,-0.31923,3.86304,-2.6051
-5.79224,-4.37981,-1.84509,4.4324,-2.86433
-7.01294,-4.69734,-2.44207,4.95563,-3.00333
-7.59277,-4.51916,-1.58685,5.42873,-3.01739
-4.23584,-3.86802,0.23575,5.84822,-2.90686
2.15454,-2.82052,1.88237,6.21105,-2.67704
7.51953,-1.4979,2.38094,6.51468,-2.33811
7.6355,-0.05135,1.60966,6.75728,-1.90474
4.91943,1.35648,0.31422,6.9382,-1.39558
5.13306,2.57127,-0.52914,7.05751,-0.83234
9.25903,3.46548,-0.48566,7.11552,-0.23867
13.2629,3.95285,0.05104,7.11299,0.36072
14.1907,3.99751,0.26813,7.05139,0.94088
12.1216,3.61659,-0.31545,6.93321,1.47758
9.70459,2.87635,-1.38908,6.76159,1.94838
8.37402,1.88244,-2.07047,6.53996,2.33376
8.52661,0.76519,-1.62989,6.27198,2.61795
9.13086,-0.33759,-0.12226,5.96176,2.78957
9.63745,-1.29846,1.59761,5.61387,2.84192
10.0464,-2.01591,2.49797,5.23315,2.77317
9.31396,-2.42585,2.1254,4.82455,2.58652
6.81763,-2.50807,0.88743,4.39297,2.29003
2.86255,-2.28656,-0.34196,3.94334,1.89665
-0.03662,-1.82376,-0.93472,3.48059,1.42372
0.26856,-1.2096,-0.9316,3.00963,0.89202
2.34375,-0.54716,-0.84013,2.53523,0.32433
2.64282,0.06255,-1.02749,2.06196,-0.2557
0.05493,0.53444,-1.28905,1.5942,-0.82415
-3.33252,0.811,-1.0161,1.13609,-1.35736
-3.55225,0.86982,0.15772,0.69131,-1.83301
-1.08032,0.72577,1.81595,0.26312,-2.23133
1.15356,0.42713,2.87419,-0.14573,-2.53599
1.03149,0.04664,2.36145,-0.53274,-2.7348
-1.83716,-0.3309,0.28179,-0.8957,-2.82021
-5.82886,-0.6224,-2.18139,-1.23292,-2.78957
-8.79517,-0.75985,-3.38634,-1.54328,-2.64511
-8.54492,-0.70146,-2.4106,-1.8262,-2.394
-4.11987,-0.43896,0.19483,-2.08146,-2.04776
1.3855,0.00025,2.69413,-2.30925,-1.6214
4.43726,0.55647,3.34786,-2.5102,-1.13289
1.97144,1.14611,1.65218,-2.68531,-0.60292
-3.59497,1.67401,-1.27101,-2.8359,-0.05486
-7.23267,2.04759,-3.43218,-2.9636,0.4868
-5.28564,2.19136,-3.34396,-3.07037,0.99846
1.64185,2.05905,-1.03185,-3.15844,1.45865
7.02515,1.64166,2.01305,-3.23018,1.84859
6.18896,0.97026,3.86638,-3.28795,2.15246
0.53101,0.11308,3.43244,-3.33404,2.35794
-4.71191,-0.8326,1.07626,-3.37075,2.45696
-5.47485,-1.75283,-1.73476,-3.40038,2.44629
-4.15039,-2.53232,-3.4333,-3.42517,2.32763
-4.23584,-3.06992,-3.27244,-3.4473,2.10747
-6.27441,-3.29231,-1.59874,-3.46877,1.79677
-7.69653,-3.16389,0.55067,-3.49138,1.41049
-6.52466,-2.69169,2.14276,-3.51671,0.96692
-4.25415,-1.92455,2.65164,-3.54594,0.48674
-3.02734,-0.94701,2.1306,-3.57991,-0.00804
-3.27148,0.13172,0.96888,-3.61913,-0.49481
-4.79736,1.19194,-0.39451,-3.66385,-0.9514
-6.30493,2.11891,-1.58741,-3.71403,-1.35686
-7.00073,2.81709,-2.2835,-3.76921,-1.69253
-6.2439,3.22127,-2.21725,-3.82861,-1.94298
-4.01611,3.30306,-1.32249,-3.89113,-2.09671
-1.61743,3.07233,0.11874,-3.95539,-2.14633
-0.45166,2.57327,1.51001,-4.01976,-2.08883
-1.08643,1.87616,2.22334,-4.08235,-1.92579
-3.03955,1.06601,1.97278,-4.14115,-1.66389
-5.23071,0.23028,1.00485,-4.19389,-1.3146
-6.10352,-0.55222,-0.06532,-4.23825,-0.89324
-5.86548,-1.2201,-0.67968,-4.27189,-0.41809
-6.01196,-1.73468,-0.7178,-4.29244,0.09021
-7.22656,-2.08191,-0.53507,-4.29747,0.6091
-8.23975,-2.26898,-0.61623,-4.2845,1.11512
-7.71484,-2.31707,-1.11005,-4.25117,1.58523
-5.68237,-2.2532,-1.63108,-4.19527,1.99756
-3.83911,-2.10277,-1.52702,-4.11498,2.33232
-2.20947,-1.88442,-0.43984,-4.00895,2.57252
-0.57983,-1.60639,1.27876,-3.87608,2.70518
1.12915,-1.26534,2.67598,-3.71546,2.72188
2.17896,-0.84933,2.82259,-3.52641,2.61883
1.86157,-0.34438,1.52308,-3.30866,2.39699
0.83618,0.257,-0.44629,-3.06265,2.06217
-0.43945,0.94684,-1.81639,-2.78914,1.62514
-0.96436,1.69515,-1.72456,-2.48914,1.10126
-0.43945,2.44749,-0.37233,-2.16404,0.50974
0.39673,3.12768,1.08925,-1.81559,-0.12723
1.2085,3.64567,1.41444,-1.44604,-0.7853
1.35498,3.90904,0.23665,-1.05804,-1.43882
0.43335,3.83678,-1.60711,-0.65489,-2.06171
-0.95215,3.37443,-2.70285,-0.24024,-2.62864
-2.28271,2.50787,-2.18626,0.18212,-3.11618
-2.65503,1.2729,-0.46912,0.60838,-3.50387
-2.2583,-0.24156,1.07981,1.03455,-3.77477
-2.30103,-1.8983,1.31184,1.45615,-3.91603
-3.07007,-3.52417,0.38791,1.86836,-3.91922
-4.1626,-4.929,-0.21234,2.26636,-3.78092
-4.22363,-5.92885,1.05541,2.64553,-3.50306
-3.14331,-6.37074,4.1828,3.00154,-3.09298
-1.93481,-6.15565,7.01716,3.33015,-2.56323
-1.32446,-5.25614,6.46148,3.62721,-1.93109
-2.36816,-3.72595,0.86671,3.88875,-1.2175
-4.15039,-1.69908,-8.09108,4.1112,-0.44641
-5.59692,0.62183,-15.6638,4.29121,0.35572
-5.57251,2.98703,-16.659,4.42577,1.16083
-3.74146,5.12816,-8.92333,4.51224,1.94056
10.4248,6.7906,4.68436,4.54865,2.66779
34.4971,7.76558,17.4094,4.53372,3.31724
50.1953,7.91782,22.373,4.46669,3.86575
42.6636,7.20507,16.7051,4.34722,4.29301
14.1541,5.6861,3.36339,4.17565,4.58278
-9.80225,3.51646,-10.5872,3.953,4.72396
-13.9648,0.93159,-18.1533,3.68091,4.71091
-5.99976,-1.78035,-16.3762,3.36158,4.54346
1.3916,-4.31268,-7.62581,2.99767,4.22666
3.03345,-6.3775,2.39122,2.59234,3.77041
0.30518,-7.74063,8.37871,2.14929,3.18914
-2.85645,-8.24965,8.43072,1.67266,2.50157
-4.15649,-7.85225,4.47479,1.16711,1.73038
-3.32642,-6.60207,0.26,0.63769,0.90164
-1.57471,-4.65188,-1.43316,0.0898,0.04348
-0.73853,-2.23395,-0.40152,-0.4709,-0.81535
-1.3916,0.36955,1.4344,-1.03848,-1.64665
-2.44751,2.86159,1.8872,-1.60686,-2.42338
-2.33765,4.96605,0.23189,-2.16989,-3.12016
-1.2146,6.45975,-2.40785,-2.72147,-3.71411
-1.15967,7.19747,-4.10029,-3.25563,-4.1859
-2.7832,7.12668,-3.62431,-3.76657,-4.52064
-5.07813,6.29012,-1.30189,-4.24871,-4.70827
-6.06689,4.81665,1.36696,-4.69678,-4.74421
-5.3833,2.90237,2.85017,-5.10581,-4.62897
-5.52368,0.78414,2.59287,-5.47119,-4.36633
-7.53784,-1.29113,1.20473,-5.78892,-3.96366
-10.7666,-3.09726,-0.17402,-6.0556,-3.43352
-13.0615,-4.4544,-0.74433,-6.2684,-2.79511
-13.1714,-5.24636,-0.5038,-6.42506,-2.0729
-11.9812,-5.42916,-0.03925,-6.52385,-1.29289
-10.4797,-5.0309,0.06843,-6.56372,-0.48091
-9.35669,-4.14299,-0.28535,-6.54414,0.33712
-8.08716,-2.90415,-0.71691,-6.46502,1.13498
-6.37817,-1.47972,-0.74308,-6.32702,1.88683
-4.11987,-0.03921,-0.21597,-6.13185,2.56847
-1.79443,1.26418,0.54159,-5.88225,3.15838
-0.21973,2.30926,0.98797,-5.58145,3.63848
0.91553,3.01778,0.78293,-5.2328,3.99457
1.93481,3.35898,0.0492,-4.84003,4.21673
2.6123,3.34681,-0.70966,-4.40752,4.2995
2.59399,3.03081,-0.9628,-3.94036,4.24188
1.70288,2.48312,-0.51858,-3.44402,4.04724
1.29395,1.78645,0.34241,-2.92413,3.72309
2.97241,1.02398,1.04584,-2.38651,3.28091
3.8208,0.27053,1.09538,-1.8373,2.73681
2.38647,-0.41452,0.39883,-1.28291,2.11099
-1.53198,-0.99093,-0.65623,-0.72981,1.42638
-4.10767,-1.43735,-1.42662,-0.18432,0.70667
-3.52173,-1.74734,-1.40395,0.34753,-0.025
-1.52588,-1.92386,-0.53577,0.85992,-0.74581
-0.23193,-1.97436,0.72023,1.34725,-1.43309
-0.43335,-1.90717,1.65006,1.80406,-2.06493
-1.40991,-1.72968,1.70131,2.22519,-2.62124
-1.98975,-1.4485,0.81017,2.60595,-3.08488
-2.03857,-1.07137,-0.54344,2.94226,-3.44209
-1.54419,-0.61021,-1.59849,3.23063,-3.68277
-1.14136,-0.08385,-1.7544,3.4682,-3.80067
-0.47607,0.47997,-0.9323,3.65256,-3.79365
1.01318,1.0439,0.36568,3.78176,-3.66366
2.58789,1.56167,1.36352,3.85452,-3.41662
3.58887,1.98117,1.49642,3.87037,-3.06214
3.6438,2.25025,0.75503,3.82969,-2.61322
3.33252,2.32472,-0.33398,3.73355,-2.08571
3.10669,2.1768,-1.07214,3.5835,-1.4976
2.74658,1.80123,-1.05163,3.38147,-0.86831
2.4353,1.2184,-0.40251,3.12994,-0.21836
2.80151,0.47419,0.33887,2.83205,0.43114
3.55835,-0.36286,0.63767,2.49152,1.05929
3.78418,-1.20714,0.34536,2.11259,1.64625
2.87476,-1.96509,-0.21976,1.69978,2.17406
1.44653,-2.54682,-0.54733,1.25796,2.62701
0.37842,-2.87822,-0.3456,0.79229,2.99178
0.42725,-2.91096,0.23895,0.30824,3.25788
1.31226,-2.62902,0.7629,-0.18849,3.41807
2.28271,-2.0522,0.86446,-0.69199,3.46878
2.87476,-1.23552,0.55381,-1.1963,3.41011
2.6001,-0.26393,0.16055,-1.69558,3.24551
2.01416,0.75748,-0.01973,-2.18422,2.98139
1.50146,1.71582,-0.05655,-2.65683,2.62707
0.89722,2.50343,-0.35723,-3.1081,2.19473
0.32959,3.03044,-1.23508,-3.53304,1.69887
-0.57373,3.23562,-2.41819,-3.92703,1.15595
-1.25732,3.09399,-2.97942,-4.28596,0.58332
-1.52588,2.6197,-1.90242,-4.60608,-0.0012
-2.37427,1.86413,1.02751,-4.88404,-0.57965
-3.26538,0.9097,4.68765,-5.11693,-1.1341
-3.51563,-0.13993,6.98815,-5.30241,-1.64724
-2.33154,-1.17149,6.09268,-5.43881,-2.10338
-4.82788,-2.07463,1.75244,-5.525,-2.48937
-14.0381,-2.75409,-4.20095,-5.56037,-2.79492
-24.2737,-3.14014,-8.69134,-5.54474,-3.01249
-27.1667,-3.19566,-9.16329,-5.4785,-3.13702
-18.8232,-2.91919,-5.18,-5.36266,-3.16582
-6.36597,-2.34405,1.20993,-5.19893,-3.09886
0.66528,-1.53407,6.63473,-4.98957,-2.93904
1.00708,-0.57626,8.38173,-4.73731,-2.69256
-2.53296,0.42861,5.94136,-4.44527,-2.36862
-5.40771,1.37668,1.15056,-4.117,-1.97888
-5.67017,2.17138,-3.09364,-3.75641,-1.53659
-4.12598,2.73294,-4.65667,-3.36767,-1.05585
-1.70288,3.00663,-3.32915,-2.95524,-0.55156
0.08545,2.96764,-0.65428,-2.52374,-0.03909
0.8667,2.62283,1.32848,-2.07802,0.46596
0.59204,2.00979,1.47923,-1.62313,0.94844
0.1648,1.19327,0.15508,-1.16418,1.39414
0.1709,0.25947,-1.2888,-0.70624,1.78994
0.56763,-0.6931,-1.61352,-0.25431,2.12425
1.3855,-1.56428,-0.57398,0.1867,2.38745
1.95923,-2.26259,1.0197,0.612,2.5725
2.6123,-2.71419,2.00015,1.01701,2.6749
3.25928,-2.8702,1.72149,1.39744,2.69258
3.48511,-2.71224,0.47606,1.74928,2.62577
3.35693,-2.25543,-0.79228,2.06885,2.47733
3.08228,-1.54813,-1.20985,2.3528,2.25296
3.09448,-0.66788,-0.58419,2.59819,1.96102
3.73535,0.28658,0.51539,2.80255,1.61199
4.84619,1.20607,1.21409,2.96382,1.21806
5.61523,1.98364,0.95869,3.08037,0.79282
5.16968,2.52723,-0.13091,3.15104,0.35093
3.60718,2.77054,-1.39149,3.17511,-0.09253
2.05078,2.68105,-2.08334,3.15228,-0.52267
1.48926,2.26488,-1.84338,3.08278,-0.9252
2.01416,1.56799,-0.83685,2.96729,-1.28685
3.30811,0.671,0.42967,2.80698,-1.59579
3.97949,-0.31806,1.44409,2.60344,-1.84207
3.6499,-1.27488,1.92814,2.35862,-2.01781
1.71509,-2.07418,1.86308,2.07484,-2.11761
-0.68359,-2.60743,1.36987,1.75478,-2.1389
-2.40479,-2.80096,0.59572,1.40152,-2.08224
-3.17993,-2.62594,-0.29736,1.01855,-1.95078
-3.42407,-2.09913,-1.08498,0.60965,-1.74977
-3.53394,-1.28209,-1.49564,0.17864,-1.48633
-3.84521,-0.27704,-1.35062,-0.27059,-1.16984
-3.14331,0.78263,-0.74519,-0.73413,-0.81211
-1.77612,1.75024,-0.08686,-1.20786,-0.42695
-0.04272,2.48929,0.12796,-1.68749,-0.02924
0.93384,2.89366,-0.29973,-2.16862,0.36588
0.8606,2.90168,-1.00898,-2.64692,0.74355
0.25635,2.50443,-1.2178,-3.11809,1.08938
-0.38452,1.74842,-0.2742,-3.57804,1.38983
-0.26856,0.73098,1.72609,-4.02284,1.63271
0.03662,-0.4116,3.75273,-4.4487,1.80786
-0.46997,-1.52189,4.36247,-4.85198,1.90761
-2.57568,-2.44281,2.68605,-5.22914,1.92723
-7.89795,-3.03987,-0.78499,-5.57691,1.8652
-14.1785,-3.22093,-4.25132,-5.8924,1.72329
-17.218,-2.95057,-5.62406,-6.17312,1.5064
-14.325,-2.25648,-3.92082,-6.41694,1.22207
-7.53784,-1.22694,-0.08583,-6.6219,0.88025
-2.67944,0.00012,3.44459,-6.78622,0.4932
-2.33154,1.25655,4.28869,-6.90854,0.07527
-4.76074,2.36723,1.79383,-6.98794,-0.35772
-6.52466,3.17389,-2.34904,-7.02398,-0.78876
-6.50635,3.55662,-5.09822,-7.01659,-1.20051
-4.95605,3.45089,-4.1015,-6.96596,-1.57595
-2.86255,2.85898,0.57268,-6.87264,-1.89957
-1.46484,1.85213,6.24974,-6.73763,-2.15806
-0.37842,0.56181,9.24404,-6.56236,-2.34031
0.354,-0.83824,7.2406,-6.34855,-2.4375
-4.48608,-2.15625,0.8892,-6.09806,-2.44345
-15.6738,-3.20901,-6.47861,-5.81297,-2.35536
-26.1597,-3.84755,-10.8525,-5.4957,-2.17421
-26.5869,-3.97799,-9.96272,-5.14905,-1.90466
-14.6057,-3.57506,-4.55753,-4.77604,-1.55512
-1.09863,-2.68607,2.22803,-4.37986,-1.13602
4.37622,-1.42487,6.89893,-3.96381,-0.66038
2.85645,0.04342,7.63639,-3.53134,-0.14371
0.42725,1.52472,5.06604,-3.08606,0.39552
0.98877,2.82319,1.42678,-2.63165,0.9369
3.39355,3.76803,-1.10718,-2.17184,1.46043
5.21851,4.23648,-1.73525,-1.71033,1.94756
4.79736,4.16934,-1.17334,-1.25079,2.38113
2.93579,3.57823,-0.73582,-0.79687,2.74522
1.15356,2.54349,-1.1806,-0.35212,3.02564
-0.36011,1.20253,-2.1875,0.08002,3.21109
-0.98877,-0.26973,-2.75694,0.4963,3.29393
